iter	RMSE
0	231.7905551
1	218.1917314
2	212.59098
3	210.1973261
4	208.0625756
5	205.6750626	6	201.77095977	199.655653788	198.003491399	197.6612869110	195.824127
11	194.7673774
12	193.163516
13	191.678012
14	189.7226077
15	189.2209236
16	188.0366235
17	186.9676189
18	186.3111354
19	184.467595
20	183.4065518
21	182.8702063
22	182.1579499
23	182.0043385
24	181.138899
25	179.8136355
26	179.4102908
27	178.7225928
28	178.3266983
29	178.2453086
30	177.8216787
31	176.1078785
32	175.6649879
33	173.6299441
34	173.3997985
35	173.3680909
36	172.6567893
37	172.4831836
38	172.4719424
39	172.3250583
40	171.9835998
41	171.8806904
42	171.7614796
43	170.8733472
44	170.303092
45	170.2973308
46	170.2932374
47	170.284745
48	169.2330146
49	168.8030852
50	168.4546223
51	168.0075851
52	167.168818
53	167.0088732
54	166.5141143
55	165.1287845
56	164.9073139
57	164.7625789
58	164.5741001
59	163.9888589
60	163.6479187
61	162.9878696
62	162.9020136
63	161.8422474
64	161.0672056
65	160.8331665
66	160.5344676
67	160.428769
68	159.7761969
69	159.4652874
70	159.1463363
71	158.8185089
72	157.9876104
73	157.8869608
74	157.4451918
75	157.2567997
76	157.1496901
77	156.9998428
78	156.7262942
79	154.4381745

